FAIL,DIMENSIOON,SKOORID,VASTAJAID,STD,KESKMINE SKOOR
ekspress_online_2020.txt,form,0.0 | 2.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,1,nan,2.0
ekspress_online_2020.txt,spont,0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.5 | 0.5 | 0.0,4,0.25,0.62
www_hambaarst_ee.ela_423040.txt,form,3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 2.0 | 3.0 | 3.0 | 3.0 | 3.0,10,0.32,2.9
www_hambaarst_ee.ela_423040.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,0,nan,nan
uudised_err_ee.ela_541051.txt,form,0.0 | 2.0 | 0.0 | 1.0 | 1.0 | 0.0 | 0.0 | 2.0 | 0.0 | 0.0,4,0.58,1.5
uudised_err_ee.ela_541051.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 1.0 | 0.0 | 0.5 | 0.0,3,0.29,0.67
www_eramets_ee.ela_479405.txt,form,3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 2.0 | 3.0,10,0.32,2.9
www_eramets_ee.ela_479405.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0 | 0.0,1,nan,0.5
www_unesco_ee.ela_630384.txt,form,2.0 | 2.0 | 2.0 | 2.0 | 1.0 | 2.0 | 2.0 | 3.0 | 3.0 | 0.0,9,0.6,2.11
www_unesco_ee.ela_630384.txt,spont,0.5 | 0.0 | 0.5 | 0.5 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0,5,0.22,0.6
www_epl_ee.ela_495381.txt,form,1.0 | 2.0 | 0.0 | 0.0 | 1.0 | 1.0 | 2.0 | 0.0 | 2.0 | 0.0,6,0.55,1.5
