,TTR,asesõnade_esimese_isiku_osaarv,asesõnade_kolmanda_isiku_osaarv,asesõnade_teise_isiku_osaarv,emotikonide_arv,kaudse_kõneviisi_osakaal,kirjavigadega_osaarv,kokkukleepunud_kirjavahemärkide_arv,korduvate_sõnade_arv,korduvate_tähtede_arv,käändsõnade_osaarv,lemmapikkuse_osaarv,luhemate_tundmatute_osakaal,läbinisti_suur,nud-partitsiibiga_verbide_osakaal,passiivi_osakaal,puuduva_suure_algustähega,verbide_esimese_isiku_osaarv,verbide_kolmanda_isiku_osaarv,verbide_teise_isiku_osaarv,formaadivead,keelevead,koos,laensõnad,lühendid,murdeline,märgiasendused,märgikordused,numbrivead,omasõnad,partiklid,sõnaliited,toorlaenud,Ühendsõnastikust,formaalsus,spontaansus
www_vorumaateataja_ee.ela_494965.txt,0.7279411764705882,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.49044585987261147,4.606451612903226,0.0,0.0,0.02857142857142857,0.08571428571428572,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45999999999999996,0.5566666666666666
www_delfi_ee.ela_361703.txt,0.6472491909385113,0.0,1.0,0.0,1,0.0,0.053824362606232294,1,1,5,0.41359773371104813,4.73121387283237,0.0113314447592068,0.03642384105960265,0.0196078431372549,0.00980392156862745,0.019867549668874173,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0056179775280898875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056179775280898875,0.0,0.9666666666666667
www_3dnews_ee.ela_435253.txt,0.7631578947368421,0.0,1.0,0.0,0,0.0,0.007462686567164179,0,0,1,0.5,5.213740458015267,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0
www_ajakiri_ut_ee.ela_429007.txt,0.7777777777777778,0.0,0.0,0.0,0,0.0,0.0125,0,0,0,0.625,5.280898876404494,0.0,0.0392156862745098,0.0,0.09090909090909091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
ekspress_online_2020.txt,0.8351648351648352,0.0,1.0,0.0,0,0.0,0.039603960396039604,0,0,0,0.48514851485148514,4.653465346534653,0.039603960396039604,0.0449438202247191,0.2608695652173913,0.13043478260869565,0.0,0.0,1.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.6666666666666666,0.20666666666666667
www_hambaarst_ee.ela_423040.txt,0.7251908396946565,0.0,0.0,0.0,0,0.0,0.08609271523178808,0,0,0,0.6225165562913907,5.513333333333334,0.006622516556291391,0.07526881720430108,0.0,0.22727272727272727,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.0
uudised_err_ee.ela_541051.txt,0.6568047337278107,0.25,0.75,0.0,0,0.0,0.004901960784313725,0,0,4,0.46568627450980393,5.075268817204301,0.004901960784313725,0.011695906432748537,0.15,0.075,0.029239766081871343,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.22333333333333336
www_eramets_ee.ela_479405.txt,0.6867469879518072,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.6559139784946236,5.02803738317757,0.0,0.023809523809523808,0.0,0.3125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.16666666666666666
www_unesco_ee.ela_630384.txt,0.7564102564102564,0.0,0.0,0.0,0,0.0,0.043010752688172046,0,0,0,0.5913978494623656,5.4787234042553195,0.06451612903225806,0.11538461538461539,0.058823529411764705,0.17647058823529413,0.01282051282051282,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7033333333333333,0.19999999999999998
www_epl_ee.ela_495381.txt,0.7352941176470589,0.0,1.0,0.0,0,0.0,0.004347826086956522,0,0,0,0.5739130434782609,4.711864406779661,0.013043478260869565,0.015151515151515152,0.057692307692307696,0.019230769230769232,0.0,0.0,0.9473684210526315,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666
www_epl_ee.ela_679018.txt,0.6917293233082706,0.0,0.0,0.0,0,0.0,0.006578947368421052,0,0,2,0.5723684210526315,4.757575757575758,0.0,0.012195121951219513,0.05714285714285714,0.11428571428571428,0.036585365853658534,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666666,0.6666666666666666
valitsus_ee.ela_604239.txt,0.6205357142857143,0.0,1.0,0.0,0,0.0,0.003952569169960474,0,0,0,0.616600790513834,6.003636363636364,0.0,0.009950248756218905,0.05263157894736842,0.13157894736842105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6833333333333332,0.16666666666666666
sport_autonet_ee.ela_515760.txt,0.6544117647058824,0.0,0.0,0.0,3,0.0,0.10559006211180125,0,0,0,0.5714285714285714,4.578231292517007,0.0,0.11029411764705882,0.034482758620689655,0.0,0.022058823529411766,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.6666666666666666
www_politsei_ee.ela_163441.txt,0.693069306930693,0.0,0.0,0.0,0,0.0,0.05263157894736842,0,0,0,0.7105263157894737,4.7727272727272725,0.0,0.0707070707070707,0.0,0.29411764705882354,0.020202020202020204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.38999999999999996
arvamusaed_ee.ela_6007.txt,0.8253968253968254,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0.4755244755244755,5.104575163398692,0.0,0.0,0.25,0.07142857142857142,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37333333333333335,0.3333333333333333
stiimul_ee.ela_330566.txt,0.7615384615384615,0.5,0.5,0.0,0,0.0,0.006578947368421052,0,0,2,0.46710526315789475,5.173333333333333,0.0,0.007575757575757576,0.0625,0.125,0.022727272727272728,0.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333
www_seduction_ee.ela_642092.txt,0.5431654676258992,0.45454545454545453,0.4090909090909091,0.13636363636363635,0,0.0,0.0,0,1,0,0.19298245614035087,4.114583333333333,0.023391812865497075,0.0037174721189591076,0.012987012987012988,0.012987012987012988,0.0,0.5652173913043478,0.30434782608695654,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666
www_kohus_ee.ela_34731.txt,0.6904761904761905,0.0,1.0,0.0,0,0.0,0.04145077720207254,0,0,3,0.6062176165803109,5.169312169312169,0.0,0.09090909090909091,0.06896551724137931,0.20689655172413793,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2333333333333333
www_lapsemure_ee.ela_140896.txt,0.5076923076923077,0.6764705882352942,0.3235294117647059,0.0,0,0.0,0.013513513513513514,0,0,11,0.27927927927927926,4.225961538461538,0.013513513513513514,0.0,0.03571428571428571,0.0,0.005128205128205128,0.34782608695652173,0.5652173913043478,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.9666666666666667
et_wikipedia_org.ela_624820.txt,0.5981308411214953,0.0,1.0,0.0,0,0.0,0.016260162601626018,0,0,0,0.5528455284552846,5.566666666666666,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4366666666666667,0.5833333333333334
et_wikipedia_org.ela_519819.txt,0.7582417582417582,0.0,1.0,0.0,0,0.0,0.009174311926605505,0,0,0,0.5045871559633027,5.157407407407407,0.0,0.0,0.08333333333333333,0.20833333333333334,0.02197802197802198,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5633333333333334,0.25
blablabla_ee.ela_504829.txt,0.6666666666666666,0.25,0.5,0.25,0,0.0,0.008658008658008658,0,0,1,0.354978354978355,4.630331753554502,0.004329004329004329,0.00510204081632653,0.018518518518518517,0.12962962962962962,0.00510204081632653,0.4090909090909091,0.5,0.09090909090909091,0.0,0.0,0.008658008658008658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008658008658008658,0.3333333333333333,0.35333333333333333
